,ord
1512,belönade
1513,belönades
1514,belönas
1515,belöning
1516,belöningen
1517,belöningssystem
1518,bemannade
1519,bemanning
1520,bemanningen
1521,bemantlad
1522,bemärkelse
1523,bemärkelsen
1524,bemöta
1525,bemötte
1526,ben
1527,bena
1528,benen
1529,benet
1530,bengt
1531,benig
1532,benign
1533,bensin
1534,bensinen
1535,bensintank
1536,benstomme
1537,benäget
1538,benämner
1539,benämning
1540,benämningen
1541,benådad
1542,ber
1543,beredande
1544,beredd
1545,beredda
1546,bereder
1547,beredning
1548,beredningen
1549,beredningsarbete
1550,beredningsgrupper
1551,beredskap
1552,berg
1553,bergen
1554,bergsgråa
1555,bergvägg
1556,berika
1557,berikar
1558,berit
1559,berlin
1560,bernaise
1561,bero
1562,berodde
1563,beroende
1564,beror
1565,bert
1566,bertil
1567,bertils
1568,berusad
1569,berusade
1570,beryktade
1571,beräkna
1572,beräknade
1573,beräknar
1574,beräknas
1575,beräknat
1576,beräkning
1577,beräkningarna
1578,berätta
1579,berättad
1580,berättade
1581,berättande
1582,berättar
1583,berättaren
1584,berättarglädje
1585,berättarrösterna
1586,berättarstilen
1587,berättarteknik
1588,berättat
1589,berättelse
1590,berättelsen
1591,berättelser
1592,berättelserna
1593,berättiga
1594,berättigade
1595,berättigande
1596,berått
1597,beröm
1598,berömd
1599,berömmelse
1600,berömvärd
1601,berömvärt
1602,berör
1603,beröra
1604,berörd
1605,berörda
1606,beröring
1607,beröringar
1608,beröringspunkter
1609,berörs
1610,berört
1611,beröva
1612,besannades
1613,besatt
1614,besegras
1615,besitta
1616,besittning
1617,beskattas
1618,besked
1619,beskedlig
1620,beskrev
1621,beskriv
1622,beskriva
1623,beskrivande
1624,beskrivas
1625,beskriver
1626,beskrivit
1627,beskrivits
1628,beskrivna
1629,beskrivning
1630,beskrivningar
1631,beskrivningarna
1632,beskrivningen
1633,beskrivs
1634,beskurit
1635,beskurits
1636,beskyddare
1637,beskylla
1638,beskära
1639,beskärda
1640,beskåda
1641,beskådan
1642,beslut
1643,besluta
1644,beslutade
1645,beslutades
1646,beslutande
1647,beslutanderätten
1648,beslutar
1649,beslutas
1650,beslutat
1651,besluten
1652,beslutet
1653,beslutsamhet
1654,beslutsamma
1655,beslutsamt
1656,beslutsfattande
1657,beslutsfattandet
1658,beslutsfattare
1659,beslutsfattarnas
1660,beslutsfrihet
1661,beslutskapacitet
1662,beslutsninvåer
1663,beslutsnivåer
1664,beslutsordningen
1665,beslutsprocessen
1666,beslutsprocesser
1667,beslutsstrategi
1668,beslutsteori
1669,beslutsunderlag
1670,beslutsunderlagen
1671,beslutsunderlaget
1672,beslutsvägar
1673,beslöt
1674,beslöts
1675,besmittas
1676,besparingar
1677,besparingarna
1678,besparingen
1679,besparingskrav
1680,besparingsmål
1681,bespruta
1682,besteg
1683,bestialisk
1684,bestickslammer
1685,bestod
1686,bestseller
1687,beställa
1688,beställd
1689,beställda
1690,beställningsvolymen
1691,beställt
1692,bestämd
1693,bestämda
1694,bestämde
1695,bestämma
1696,bestämmas
1697,bestämmelse
1698,bestämmelseort
1699,bestämmer
1700,bestäms
1701,bestämt
1702,beständiga
1703,beständighet
1704,beständigt
1705,bestå
1706,bestående
1707,bestånd
1708,beståndsdelar
1709,består
1710,besvara
1711,besvarad
1712,besvarade
1713,besvarar
1714,besvaras
1715,besvarat
1716,besvarats
1717,besvikelse
1718,besviken
1719,besvikenhetens
1720,besvikna
1721,besvär
1722,besvärad
1723,besvärade
1724,besvärande
1725,besväret
1726,besvärjelser
1727,besvärlig
1728,besvärligt
1729,besätta
1730,besök
1731,besöka
1732,besökarna
1733,besöket
1734,besökslicens
1735,besökslicensen
1736,besöksrum
1737,besökta
1738,besökte
1739,bet
1740,betala
1741,betalade
1742,betalar
1743,betalas
1744,betalat
1745,betalningen
1746,betalningsansvar
1747,betalningsorder
1748,betalt
1749,betande
1750,bete
1751,beteckna
1752,betecknades
1753,betecknande
1754,betecknar
1755,betecknas
1756,beteckning
1757,beteckningen
1758,beteende
1759,beteenden
1760,betett
1761,betingad
1762,betingade
1763,betingelser
1764,betingelserna
1765,betjänas
1766,betjäning
1767,betona
1768,betonade
1769,betonats
1770,betong
1771,betongen
1772,betoning
1773,betrakta
1774,betraktad
1775,betraktade
1776,betraktades
1777,betraktande
1778,betraktar
1779,betraktaren
1780,betraktas
1781,betraktat
1782,betraktelse
1783,beträffade
1784,beträffande
1785,beträffar
1786,bett
1787,bettet
1788,betvivla
1789,betyda
1790,betydande
1791,betydde
1792,betydelse
1793,betydelsefull
1794,betydelsefulla
1795,betydelsefullt
1796,betydelselösa
1797,betydelsen
1798,betydelserna
1799,betydenhet
1800,betyder
1801,betydligt
1802,betyg
